sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes,,,,
1647,757,pler,2,3,5.7,0.3,0.02836,,,,25-Apr-17,,,,,
1648,757,pler,3,1,8.5,0.4,0.06568,,,,25-Apr-17,,,,,
1649,757,pler,3,2,8.7,0.4,0.05613,,,,25-Apr-17,,,,,
1650,757,pler,3,3,5.4,0.2,0.02247,,,,25-Apr-17,,,,,
1651,757,pler,4,1,7.6,0.4,0.09561,,,,25-Apr-17,,,,,
1652,757,pler,4,2,7.6,0.4,0.0544,,,,25-Apr-17,,,,,
1653,757,pler,4,3,6.7,0.4,0.03731,,,,25-Apr-17,,,,,
1654,757,pler,5,1,8.6,0.4,0.08626,,,,25-Apr-17,,,,,
1655,757,pler,5,2,6.3,0.3,0.02619,,,,25-Apr-17,,,,,
1656,757,pler,5,3,6,0.3,0.02342,,,,25-Apr-17,,,,,
1657,760,mepo,5,1,1.5,2,0.04358,0.00663,0.01077,0.00171,26-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1658,760,mepo,5,2,2,2.6,0.05517,0.00537,0.01523,0.00147,26-Apr-17,,,,,
1659,760,mepo,5,3,1.8,2.4,0.03935,0.00463,0.011,0.00122,26-Apr-17,,,,,
1660,760,mepo,4,1,2.2,1.6,0.03271,0.00452,0.0109,0.00087,26-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1661,760,mepo,4,2,1.2,1.7,0.01673,0.0024,0.00545,0.00068,26-Apr-17,,,,,
1662,760,mepo,4,3,1.5,2.2,0.03706,0.00412,0.01104,0.00126,26-Apr-17,,,,,
1663,760,mepo,3,1,1.8,2.6,0.04391,0.00476,0.0123,0.0012,26-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1664,760,mepo,3,2,1.5,2.2,0.04137,0.00814,0.01173,0.00177,26-Apr-17,,,,,
1665,760,mepo,3,3,1.8,2.6,0.04453,0.00457,0.0123,0.00123,26-Apr-17,,,,,
1666,760,mepo,2,1,2,2.4,0.03581,0.00388,0.01034,0.0009,26-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1667,760,mepo,2,2,1.5,2.2,0.03325,0.00356,0.01017,0.001,26-Apr-17,,,,,
1668,760,mepo,2,3,1,1.2,0.01284,0.00242,0.00344,0.00043,26-Apr-17,,,,,
1669,760,mepo,1,1,1.3,2,0.03916,0.00506,0.01158,0.00044,26-Apr-17,using only 1/5 of plant,,,,
1670,760,mepo,1,2,1.7,2.4,0.05183,0.00585,0.01309,0.00132,26-Apr-17,,,,,
1671,760,mepo,1,3,1.2,1.8,0.02548,0.00508,0.00759,0.00108,26-Apr-17,,,,,
1672,760,homu,1,1,2.6,0.4,0.01097,,0.00351,,26-Apr-17,,,,,
1673,760,homu,1,2,2.6,0.4,0.0107,,0.00324,,26-Apr-17,,,,,
1674,760,homu,1,3,2.4,0.4,0.00997,,0.0032,,26-Apr-17,,,,,
1675,760,homu,2,1,2.6,0.4,0.01085,,0.00344,,26-Apr-17,,,,,
1676,760,homu,2,2,3,0.5,0.01469,,0.00446,,26-Apr-17,,,,,
1677,760,homu,2,3,2,0.4,0.00794,,0.00278,,26-Apr-17,,,,,
1678,760,homu,3,1,2.9,0.4,0.01136,,0.00353,,26-Apr-17,,,,,
1679,760,homu,3,2,3.2,0.4,0.01273,,0.00362,,26-Apr-17,,,,,
1680,760,homu,3,3,2.5,0.4,0.00885,,0.00278,,26-Apr-17,,,,,
1681,760,homu,4,1,2.9,0.4,0.01132,,0.00352,,26-Apr-17,,,,,
1682,760,homu,4,2,4.2,0.4,0.01882,,0.00587,,26-Apr-17,,,,,
1683,760,homu,4,3,3,0.4,0.01181,,0.0037,,26-Apr-17,,,,,
1684,760,homu,5,1,3.5,0.4,0.01646,,0.00418,,26-Apr-17,,,,,
1685,760,homu,5,2,4.3,0.4,0.01557,,0.00492,,26-Apr-17,,,,,
1686,760,homu,5,3,5.8,0.4,0.02209,,0.00645,,26-Apr-17,,,,,
1687,760,eupe,1,1,1,0.6,0.00637,,,,26-Apr-17,,,,,
1688,760,eupe,1,2,0.9,0.6,0.00594,,,,26-Apr-17,,,,,
1689,760,eupe,1,3,0.7,0.6,0.00484,,,,26-Apr-17,,,,,
1690,760,eupe,2,1,1.4,0.6,0.01011,,,,26-Apr-17,,,,,
1691,760,eupe,2,2,0.9,0.6,0.00518,,,,26-Apr-17,,,,,
1692,760,eupe,2,3,1,0.6,0.00546,,,,26-Apr-17,,,,,
1693,760,mica,1,1,1.5,0.4,0.00449,,,,26-Apr-17,,,,,
1694,760,mica,1,2,1.4,0.4,0.00442,,,,26-Apr-17,,,,,
1695,760,mica,1,3,1.4,0.3,0.00446,,,,26-Apr-17,,,,,
1696,760,mica,2,1,1.1,0.3,0.00332,,,,26-Apr-17,,,,,
1697,760,mica,2,2,1.1,0.3,0.00302,,,,26-Apr-17,,,,,
1698,760,mica,2,3,1.2,0.3,0.00337,,,,26-Apr-17,,,,,
1699,760,vuma,1,1,3.2,0.2,0.00528,,0.00178,,26-Apr-17,"leaf curling, double area ",,,,
1700,760,vuma,1,2,2.9,0.2,0.00597,,0.00197,,26-Apr-17,"leaf curling, double area ",,,,
1701,760,vuma,1,3,3.5,0.2,0.00958,,0.0031,,26-Apr-17,,,,,
1702,760,vuma,2,1,4.8,0.2,0.01189,,0.00424,,26-Apr-17,,,,,
1703,760,vuma,2,2,4.3,0.3,0.1096,,0.00408,,26-Apr-17,,,,,
1704,760,vuma,2,3,4.3,0.2,0.01048,,0.00377,,26-Apr-17,,,,,
1705,760,vuma,3,1,3.7,0.2,0.00741,,0.00241,,26-Apr-17,,,,,
1706,760,vuma,3,2,4.5,0.3,0.01093,,0.00378,,26-Apr-17,,,,,
1707,760,vuma,3,3,4.9,0.2,0.01063,,0.0036,,26-Apr-17,,,,,
1708,760,aghe,1,1,7.2,0.3,0.02328,,,,26-Apr-17,,,,,
1709,760,aghe,1,2,6.5,0.3,0.01741,,,,26-Apr-17,,,,,
1710,760,aghe,1,3,9.3,0.3,0.07162,,,,26-Apr-17,,,,,
1711,760,aghe,2,1,8.5,0.4,0.04298,,,,26-Apr-17,,,,,
1712,760,aghe,2,2,9,0.4,0.03417,,,,26-Apr-17,,,,,
1713,760,aghe,2,3,8.2,0.4,0.02702,,,,26-Apr-17,,,,,
1714,760,aghe,3,1,6,0.4,0.02699,,,,26-Apr-17,,,,,
1715,760,aghe,3,2,9.2,0.5,0.05061,,,,26-Apr-17,,,,,
1716,760,aghe,3,3,9.5,0.4,0.05258,,,,26-Apr-17,,,,,
1717,753,mepo,1,1,1.2,1.5,0.01739,0.00141,0.00481,0.00041,27-Apr-17,,,,,
1718,753,mepo,1,2,1.1,1.5,0.0169,0.00214,0.00446,0.00054,27-Apr-17,,,,,
1719,753,mepo,1,3,1,1.4,0.01708,0.0033,0.00484,0.00085,27-Apr-17,,,,,
1720,753,mepo,2,1,1.2,1.7,0.01512,0.00253,0.00534,,27-Apr-17,,,,,
1721,753,mepo,2,2,1.2,1.7,0.01776,0.0023,0.00605,,27-Apr-17,,,,,
1722,753,mepo,2,3,1.2,2,0.02702,0.00303,0.00786,,27-Apr-17,,,,,
1723,753,mica,1,1,0.9,0.2,0.00147,,0.00031,,27-Apr-17,,,,,
1724,753,mica,1,2,0.8,0.2,0.00128,,0.00041,,27-Apr-17,,,,,
1725,753,mica,1,3,0.9,0.2,0.00144,,0.00043,,27-Apr-17,,,,,
1726,753,aghe,1,1,8.4,1.2,0.04614,,0.00817,,27-Apr-17,,,,,
1727,753,aghe,1,2,9.5,1,0.05949,,0.00978,,27-Apr-17,,,,,
1728,753,aghe,1,3,10.4,2.5,0.07345,,0.01213,,27-Apr-17,,,,,
1729,754,mepo,1,1,1.5,1.9,0.02994,0.00418,0.00765,,27-Apr-17,using only 1/3 of plant,,,,
1730,754,mepo,1,2,1.4,1.7,0.02519,0.00405,0.00699,,27-Apr-17,,,,,
1731,754,mepo,1,3,1.5,2,0.02581,0.00361,0.00741,,27-Apr-17,,,,,
1732,754,mepo,2,1,1.1,1.5,0.0162,0.00272,0.00481,,27-Apr-17,,,,,
1733,754,mepo,2,2,1.2,1.6,0.01515,0.00159,0.00438,,27-Apr-17,,,,,
1734,754,mepo,2,3,1.1,1.2,0.01004,0.00219,0.00263,,27-Apr-17,,,,,
1735,754,mepo,3,1,1.5,2,0.0272,0.004,0.00789,,27-Apr-17,,,,,
1736,754,mepo,3,2,1.1,1.6,0.01589,0.00153,0.00474,,27-Apr-17,,,,,
1737,754,mepo,3,3,1.2,1.8,0.02038,0.00273,0.00597,,27-Apr-17,,,,,
1738,754,mepo,4,1,1.1,1.7,0.02211,0.00435,0.00636,,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1739,754,mepo,4,2,1.1,2,0.02142,0.00342,0.00739,,27-Apr-17,,,,,
1740,754,mepo,4,3,1.5,2.2,0.03173,0.00419,0.00932,,27-Apr-17,,,,,
1741,754,mepo,5,1,1.2,1.8,0.0248,0.00334,0.00574,,27-Apr-17,,,,,
1742,754,mepo,5,2,1.2,1.8,0.02081,0.00399,0.00579,,27-Apr-17,,,,,
1743,754,mepo,5,3,1.4,1.9,0.02086,0.00334,0.00636,,27-Apr-17,,,,,
1744,753,eupe,1,1,1.3,0.9,0.01033,,0.00256,,27-Apr-17,,,,,
1745,753,eupe,1,2,1.4,1,0.0131,,0.00355,,27-Apr-17,,,,,
1746,753,eupe,1,3,1.6,0.7,0.01364,,0.00337,,27-Apr-17,,,,,
1747,753,eupe,2,1,1.3,0.9,0.01114,,0.00305,,27-Apr-17,,,,,
1748,753,eupe,2,2,1.4,0.9,0.01357,,0.00378,,27-Apr-17,,,,,
1749,753,eupe,2,3,1.4,0.6,0.00844,,0.00222,,27-Apr-17,,,,,
1750,753,eupe,3,1,1.3,0.6,0.00864,,0.00239,,27-Apr-17,,,,,
1751,753,eupe,3,2,1.3,0.8,0.01073,,0.00264,,27-Apr-17,,,,,
1752,753,eupe,3,3,1.3,0.7,0.00884,,0.00233,,27-Apr-17,,,,,
1753,753,eupe,4,1,1.3,0.7,0.01054,,0.00247,,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1754,753,eupe,4,2,1,0.5,0.0083,,0.00193,,27-Apr-17,,,,,
1755,753,eupe,4,3,1.5,0.6,0.0114,,0.00271,,27-Apr-17,,,,,
1756,753,eupe,5,1,1,0.5,0.00519,,0.00132,,27-Apr-17,,,,,
1757,753,eupe,5,2,1,0.8,0.00839,,0.00245,,27-Apr-17,,,,,
1758,753,eupe,5,3,1,0.4,0.00427,,0.00119,,27-Apr-17,,,,,
1759,742,eupe,1,1,1.7,0.6,0.01106,,0.00345,,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1760,742,eupe,1,2,1.7,0.6,0.00917,,0.00266,,27-Apr-17,,,,,
1761,742,eupe,1,3,1.6,0.6,0.00956,,0.00305,,27-Apr-17,,,,,
1762,742,eupe,2,1,1.4,0.6,0.00735,,0.00203,,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1763,742,eupe,2,2,0.9,0.5,0.00467,,0.00153,,27-Apr-17,,,,,
1764,742,eupe,2,3,0.8,0.5,0.00336,,0.00115,,27-Apr-17,,,,,
1765,742,eupe,3,1,1.1,0.5,0.00531,,0.00167,,27-Apr-17,,,,,
1766,742,eupe,3,2,1.3,0.5,0.00563,,0.00169,,27-Apr-17,,,,,
1767,742,eupe,3,3,1.2,0.5,0.00581,,0.0019,,27-Apr-17,,,,,
1768,742,eupe,4,1,1.7,0.7,0.01379,,0.00394,,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1769,742,eupe,4,2,0.9,0.6,0.00597,,0.00193,,27-Apr-17,,,,,
1770,742,eupe,4,3,0.8,0.7,0.00486,,0.00171,,27-Apr-17,,,,,
1771,742,eupe,5,1,0.8,0.4,0.00275,,0.00079,,27-Apr-17,,,,,
1772,742,eupe,5,2,0.7,0.6,0.00453,,0.00138,,27-Apr-17,,,,,
1773,742,eupe,5,3,0.8,0.4,0.00294,,0.0009,,27-Apr-17,,,,,
1774,741,lowr,1,1,1.6,1.4,0.03397,0.00132,0.00499,0.00022,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1775,741,lowr,1,2,1.5,1.2,0.03634,0.00234,0.00571,0.0004,27-Apr-17,,,,,
1776,741,lowr,1,3,1.3,1.2,0.02339,0.00148,0.00377,0.00028,27-Apr-17,,,,,
1777,741,lowr,2,1,1.4,0.9,0.03189,0.00178,0.00514,0.00038,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1778,741,lowr,2,2,1.4,0.8,0.03436,0.00222,0.00525,0.0004,27-Apr-17,,,,,
1779,741,lowr,2,3,1.3,1.1,0.02121,0.00106,0.00362,NA,27-Apr-17,,,,,
1780,741,lowr,3,1,1.5,1,0.0193,0.02252,0.00301,0.00031,27-Apr-17,,,,,
1781,741,lowr,3,2,1.2,1.3,0.02438,0.00102,0.00327,0.00025,27-Apr-17,,,,,
1782,741,lowr,3,3,1.2,0.9,0.01545,0.00107,0.00229,0.00023,27-Apr-17,,,,,
1783,741,lowr,4,1,1.2,1.2,0.01713,0.00232,0.00235,0.00018,27-Apr-17,using only •À_•À__?•À_•À__ of plant,,,,
1784,741,lowr,4,2,1.6,1.4,0.09938,0.00639,0.01306,0.00078,27-Apr-17,,,,,
1785,741,lowr,4,3,1.1,1,0.01692,0.00185,0.00177,0.00015,27-Apr-17,using only 1/5 of plant,,,,
1786,741,lowr,5,1,1.6,1.2,0.04347,0.0029,0.00608,0.00031,27-Apr-17,,,,,
1787,741,lowr,5,2,1.8,1.3,0.06974,0.0044,0.01031,0.00075,27-Apr-17,,,,,
1788,741,lowr,5,3,1.8,1.3,0.04928,0.00274,0.00751,0.00035,27-Apr-17,,,,,
1789,743,eupe,1,1,1.3,0.6,0.00934,,0.00294,,27-Apr-17,,,,,
1790,743,eupe,1,2,1.5,0.7,0.00941,,0.00285,,27-Apr-17,,,,,
1791,743,eupe,1,3,1.3,0.6,0.00633,,0.00201,,27-Apr-17,,,,,
1792,743,eupe,2,1,1,0.6,0.00692,,0.0021,,27-Apr-17,,,,,
1793,743,eupe,2,2,1,0.8,0.00737,,0.00235,,27-Apr-17,,,,,
1794,743,eupe,2,3,1.8,0.9,0.00896,,0.0029,,27-Apr-17,,,,,
1795,743,eupe,3,1,1.3,0.5,0.00613,,0.00193,,27-Apr-17,,,,,
1796,743,eupe,3,2,1.3,0.3,0.00671,,0.00201,,27-Apr-17,,,,,
1797,743,eupe,3,3,0.8,0.7,0.00524,,0.00185,,27-Apr-17,,,,,
1798,743,eupe,4,1,0.9,0.4,0.00315,,0.00096,,27-Apr-17,,,,,
1799,743,eupe,4,2,0.8,0.5,0.0026,,0.00082,,27-Apr-17,,,,,
1800,743,eupe,4,3,0.8,0.4,0.00314,,0.00098,,27-Apr-17,,,,,
1801,743,saco,1,1,2,1.3,0.04996,0.00467,0.01158,,27-Apr-17,,,,,
1802,743,saco,1,2,1.9,1.3,0.047322,0.00858,0.01212,,27-Apr-17,,,,,
1803,743,saco,1,3,1.8,1.1,0.03537,0.00415,0.00903,,27-Apr-17,,,,,
1804,743,lowr,1,1,1.3,1,0.0303,0.00252,0.00586,,27-Apr-17,,,,,
1805,743,lowr,1,2,1.2,1,0.02556,0.00204,0.00525,,27-Apr-17,,,,,
1806,743,lowr,1,3,1.6,1.4,0.0286,NA,0.00523,,27-Apr-17,,,,,
1807,743,lowr,2,1,1.3,1.2,0.02719,0.00207,0.00545,,27-Apr-17,,,,,
1808,743,lowr,2,2,1.4,1,0.01964,0.00131,0.00412,,27-Apr-17,,,,,
1809,743,lowr,2,3,1,1,0.0119,0.00101,0.00241,,27-Apr-17,lost petiole,,,,
1810,743,lowr,3,1,1.3,1,0.03789,0.00192,0.00737,,27-Apr-17,,,,,
1811,743,lowr,3,2,1.4,1,0.03613,0.00193,0.00745,,27-Apr-17,,,,,
1812,743,lowr,3,3,1.3,1,0.03838,0.00239,0.00785,,27-Apr-17,,,,,
1813,753,amme,1,1,2.5,0.6,0.03602,,0.00632,,27-Apr-17,,,,,
1814,753,amme,1,2,2.8,0.6,0.0755,,0.01398,,27-Apr-17,,,,,
1815,753,amme,1,3,2.2,0.6,0.03778,,0.00628,,27-Apr-17,,,,,
1816,753,amme,2,1,2,0.06,0.02218,,0.00378,,27-Apr-17,,,,,
1817,753,amme,2,2,1.4,0.5,0.01601,,0.00278,,27-Apr-17,,,,,
1818,753,amme,2,3,,,,,0.00239,,27-Apr-17,,,,,
1819,comp,vuma,1,1,5.4,0.2,0.01239,,0.0052,,2-May-17,,39,10,4,
1820,comp,vuma,1,2,4,0.1,0.00732,,0.00332,,2-May-17,,,,,
1821,comp,vuma,1,3,3,0.2,0.00917,,0.00458,,2-May-17,,,,,
1822,comp,homu,1,1,3.3,0.4,0.01469,,0.00379,,2-May-17,,19,13,13,
1823,comp,homu,1,2,3.4,0.4,0.01282,,0.00364,,2-May-17,,,,,
1824,comp,homu,1,3,3,0.4,0.01108,,0.00285,,2-May-17,,,,,
1825,comp,homu,2,1,5.1,0.5,0.02964,,0.0078,,2-May-17,,35,22,7,
1826,comp,homu,2,2,7.6,0.5,0.03473,,0.00775,,2-May-17,,,,,
1827,comp,homu,2,3,5.9,0.4,0.0241,,0.00476,,2-May-17,,,,,
1828,comp,homu,3,1,4,0.5,0.01954,,0.00514,,2-May-17,,19,18,17,
1829,comp,homu,3,2,6.1,0.5,0.0303,,0.00849,,2-May-17,,,,,
1830,comp,homu,3,3,4.6,0.5,0.02862,,0.00733,,2-May-17,,,,,
1831,comp,homu,4,1,5.5,0.5,0.03158,,0.00926,,2-May-17,,31,25,25,
1832,comp,homu,4,2,5.1,0.5,0.02676,,0.00724,,2-May-17,,,,,
1833,comp,homu,4,3,6.8,0.5,0.03319,,0.00856,,2-May-17,,,,,
1834,comp,homu,5,1,4.6,0.5,0.01935,,0.00459,,2-May-17,,20,10,10,
1835,comp,homu,5,2,3.9,0.4,0.01359,,0.00345,,2-May-17,,,,,
1836,comp,homu,5,3,3.6,0.4,0.01179,,0.00332,,2-May-17,,,,,
1837,comp,lopu,1,1,1.4,1.9,0.01723,,0.00382,,2-May-17,,9,6,2,
1838,comp,lopu,1,2,1.4,1.7,0.01333,,0.00319,,2-May-17,,,,,
1839,comp,lopu,1,3,1.3,1.7,0.012,,0.00293,,2-May-17,,,,,
1840,comp,aghe,1,1,10.4,2.7,0.07722,,0.01151,,2-May-17,,26.5,12,7,
1841,comp,aghe,1,2,11.66,3.1,0.11417,,0.01616,,2-May-17,,,,,
1842,comp,aghe,1,3,12,2.5,0.17173,,0.02204,,2-May-17,,,,,
1843,comp,aghe,2,1,12.8,2.2,0.10409,,0.01561,,2-May-17,half of plant used,35,17,17,
1844,comp,aghe,2,2,13,3.5,0.1304,,0.01943,,2-May-17,,,,,
1845,comp,aghe,2,3,14,302,0.14192,,0.02283,,2-May-17,,,,,
1846,comp,aghe,3,1,10.7,1.7,0.08676,,0.01382,,2-May-17,,28,12,10,
1847,comp,aghe,3,2,11.6,1.2,0.09162,,0.01482,,2-May-17,,,,,
1848,comp,aghe,3,3,9.4,1.7,0.06462,,0.00965,,2-May-17,,,,,
1849,comp,aghe,4,1,11.1,1.4,0.06981,,0.0111,,2-May-17,,30,15,14,
1850,comp,aghe,4,2,11.2,1.7,0.08231,,0.01299,,2-May-17,,,,,
1851,comp,aghe,4,3,11.1,0.6,0.05954,,0.00907,,2-May-17,,,,,
1852,comp,aghe,5,1,10.9,2,0.09923,,0.01698,,2-May-17,,26,10,7,
1853,comp,aghe,5,2,10.8,1.8,0.06866,,0.01164,,2-May-17,,,,,
1854,comp,aghe,5,3,9.9,2.1,0.05948,,0.01075,,2-May-17,,,,,
1855,comp,mepo,1,1,1.7,1.7,0.01906,,0.00512,,2-May-17,,10,10,8,
1856,comp,mepo,1,2,1.8,2,0.01809,,0.00518,,2-May-17,,,,,
1857,comp,mepo,1,3,2,2,0.02652,,0.00725,,2-May-17,,,,,
1858,comp,mepo,2,1,2.7,2.2,0.03101,,0.00779,,2-May-17,,5,15,4,
1859,comp,mepo,2,2,1.5,2,0.02737,,0.00695,,2-May-17,,,,,
1860,comp,mepo,2,3,2.2,1.7,0.02642,,0.0067,,2-May-17,,,,,
1861,comp,mepo,3,1,1.5,1.9,0.03249,,0.00796,,2-May-17,,11,15,20,
1862,comp,mepo,3,2,1.5,1.9,0.02822,,0.00722,,2-May-17,,,,,
1863,comp,mepo,3,3,1.5,1.9,0.03025,,0.00785,,2-May-17,,,,,
1864,comp,mepo,5,1,1.3,1.9,0.01778,,0.00362,,2-May-17,,23,25,8,
1865,comp,mepo,5,2,1.5,2.3,0.02586,,0.00475,,2-May-17,,,,,
1866,comp,mepo,5,3,1.6,2.2,0.0334,,0.00458,,2-May-17,,,,,
1867,comp,eupe,1,1,1,0.4,0.00327,,0.00082,,2-May-17,,12,3,2,
1868,comp,eupe,1,2,1.1,0.4,0.00348,,0.00097,,2-May-17,,,,,
1869,comp,eupe,1,3,0.9,0.4,0.00326,,0.00075,,2-May-17,,,,,
1870,comp,eupe,2,1,1.3,0.9,0.0128,,0.00328,,2-May-17,,12,8,4,
1871,comp,eupe,2,2,1.1,0.8,0.00913,,0.00248,,2-May-17,,,,,
1872,comp,eupe,2,3,1,0.8,0.00717,,0.00182,,2-May-17,,,,,
1873,comp,eupe,3,1,1,0.6,0.0075,,0.00201,,2-May-17,,10,6,5,
1874,comp,eupe,3,2,1.5,0.5,0.00922,,0.0025,,2-May-17,,,,,
1875,comp,eupe,3,3,1.5,0.6,0.01036,,0.00285,,2-May-17,,,,,
1876,comp,eupe,4,1,1.2,0.8,0.00824,,0.00217,,2-May-17,,14,5,5,
1877,comp,eupe,4,2,1.5,0.6,0.00946,,0.00245,,2-May-17,,,,,
1878,comp,eupe,4,3,1.1,0.8,0.00823,,0.00229,,2-May-17,,,,,
1879,comp,eupe,5,1,1.3,0.6,0.00652,,0.00138,,2-May-17,,16,3,4,
1880,comp,eupe,5,2,1.2,0.6,0.00682,,0.00173,,2-May-17,,,,,
1881,comp,eupe,5,3,1.3,0.5,0.00707,,0.00169,,2-May-17,,,,,
1882,comp,laca,1,1,1.7,0.2,0.00681,,0.00154,,2-May-17,,12,4,4,
1883,comp,laca,1,2,1.3,0.2,0.00388,,0.00102,,2-May-17,,,,,
1884,comp,laca,1,3,1.4,0.2,0.00345,,0.00092,,2-May-17,,,,,
1885,comp,laca,2,1,1.8,0.2,0.00885,,0.00124,,2-May-17,,11,4,3,
1886,comp,laca,2,2,1.2,0.2,0.00308,,0.00058,,2-May-17,,,,,
1887,comp,laca,2,3,1.5,0.2,0.00606,,0.0013,,2-May-17,,,,,
1888,comp,lowr,1,1,1.4,1.2,0.02999,,0.00469,,2-May-17,half of plant used,9,17,13,
1889,comp,lowr,1,2,1.5,1.5,0.03456,,0.00568,,2-May-17,,,,,
1890,comp,lowr,1,3,1.8,1.8,0.04364,,0.00709,,2-May-17,,,,,
1891,comp,lowr,2,1,2,1.6,0.05152,,0.00717,,2-May-17,,13,14,10,
1892,comp,lowr,2,2,1.8,1.9,0.04662,,0.00677,,2-May-17,,,,,
1893,comp,lowr,2,3,1.5,1.2,0.02606,,0.00396,,2-May-17,,,,,
1894,comp,lowr,3,1,1.5,1.4,0.04311,,0.00681,,2-May-17,,10,10,4,
1895,comp,lowr,3,2,1.3,1.2,0.03678,,0.00599,,2-May-17,,,,,
1896,comp,lowr,3,3,1.2,1,0.03016,,0.00529,,2-May-17,,,,,
1897,comp,lowr,5,1,1.5,1,0.02545,,0.00413,,2-May-17,,10,8,7,
1898,comp,lowr,5,2,1,1,0.0229,,0.00336,,2-May-17,,,,,
1899,comp,lowr,5,3,1,1.1,0.02055,,0.00384,,2-May-17,,,,,
1900,comp,pler,1,1,5.3,0.3,0.02152,,0.00349,,2-May-17,,10,4,4,
1901,comp,pler,1,2,5.7,0.3,0.02868,,0.00516,,2-May-17,,,,,
1902,comp,pler,1,3,5.3,0.3,0.02671,,0.00485,,2-May-17,,,,,
1903,comp,pler,2,1,7.5,0.3,0.03606,,0.00599,,2-May-17,,11,5,6,
1904,comp,pler,2,2,7.5,0.2,0.02476,,0.00423,,2-May-17,,,,,
1905,comp,pler,2,3,6.6,0.3,0.03313,,0.00546,,2-May-17,,,,,
1906,comp,pler,3,1,7.2,0.3,0.03581,,0.00648,,2-May-17,,17,5,5,
1907,comp,pler,3,2,7.9,0.3,0.05021,,0.00889,,2-May-17,,,,,
1908,comp,pler,3,3,7.2,0.4,0.05508,,0.01109,,2-May-17,,,,,
1909,comp,pler,4,1,7.9,0.3,0.03803,,0.00684,,2-May-17,,15.5,6,5,
1910,comp,pler,4,2,7.8,0.3,0.03604,,0.00652,,2-May-17,,,,,
1911,comp,pler,4,3,7,0.3,0.03028,,0.00546,,2-May-17,,,,,
1912,comp,pler,5,1,8,0.3,0.03693,,0.00565,,2-May-17,,11,7,6,
1913,comp,pler,5,2,5.5,0.2,0.01703,,0.00269,,2-May-17,,,,,
1914,comp,pler,5,3,8.5,0.3,0.05251,,0.00821,,2-May-17,leaf has some herbivory,,,,
1915,comp,amme,1,1,6.9,0.1,0.2189,,0.02853,,2-May-17,,25,21,26,
1916,comp,amme,1,2,7.5,1,0.22675,,0.03025,,2-May-17,,,,,
1917,comp,amme,1,3,5.8,0.9,0.14106,,0.01868,,2-May-17,full leaf scan is 40% of plant,,,,
1918,comp,amme,2,1,3,0.4,0.04161,,0.00764,,2-May-17,,27,9,11,
1919,comp,amme,2,2,1.9,0.3,0.01534,,0.00321,,2-May-17,,,,,
1920,comp,amme,2,3,3.5,0.5,0.045,,0.00876,,2-May-17,,,,,
1921,comp,amme,3,1,3.5,1,0.01352,,0.01568,,2-May-17,25% of plant,40,35,26,
1922,comp,amme,3,2,4.9,1.1,0.171,,0.02644,,2-May-17,,,,,
1923,comp,amme,3,3,3.4,1,0.08282,,0.01262,,2-May-17,,,,,
1924,comp,amme,4,1,2.7,1,0.06062,,0.01007,,2-May-17,•À_•À__?•À_•À__ of plant,42,38,35,
1925,comp,amme,4,2,2.4,1,0.05216,,0.00887,,2-May-17,,,,,
1926,comp,amme,4,3,3.8,1.2,0.08156,,0.01217,,2-May-17,,,,,
1927,comp,amme,5,1,6.4,1.4,0.21558,,0.033,,2-May-17,•À_•À__?•À_•À__ of plant,60,42,40,
1928,comp,amme,5,2,4.5,1.4,0.13452,,0.02172,,2-May-17,,,,,
1929,comp,amme,5,3,4.6,1.2,0.1132,,0.01865,,2-May-17,,,,,
1930,comp,saco,1,1,2.2,1,0.04122,,0.00636,,2-May-17,,11,5,3,
1931,comp,saco,1,2,2.4,1.3,0.05007,,0.00873,,2-May-17,,,,,
1932,comp,saco,1,3,1.5,0.7,0.01391,,0.0023,,2-May-17,,,,,
1933,comp,clpu,1,1,1.6,0.2,0.00666,,0.00178,,3-May-17,,15,1,1,
1934,comp,clpu,1,2,1.5,0.2,0.0062,,0.00142,,3-May-17,,,,,
1935,comp,clpu,1,3,2.1,0.2,0.0101,,0.00259,,3-May-17,,,,,
1936,comp,clpu,2,1,2.2,0.4,0.01605,,0.00306,,3-May-17,,23,2,2,
1937,comp,clpu,2,2,2.3,0.3,0.01521,,0.00347,,3-May-17,,,,,
1938,comp,clpu,2,3,2.3,0.3,0.01505,,0.00318,,3-May-17,,,,,
1939,comp,clpu,3,1,2.4,0.4,0.01939,,0.00431,,3-May-17,,10,3,2,
1940,comp,clpu,3,2,2.6,0.3,0.02342,,0.00538,,3-May-17,,,,,
